kind        | source         | field           | target        
---------------------------------------------------------------
'Composite' | 'Armor'        | '(extends)'     | 'Item'        
'Composite' | 'Armor'        | 'slot'          | 'string'      
'Composite' | 'Armor'        | 'defense_bonus' | 'uint16'      
'Composite' | 'Boss'         | '(extends)'     | 'NPC'         
'Composite' | 'Boss'         | 'title'         | 'string'      
'Composite' | 'Boss'         | 'reward_gold'   | 'uint32'      
'Composite' | 'Boss'         | 'phase'         | 'uint8'       
'Interface' | 'Combatant'    | '(extends)'     | 'Damageable'  
'Interface' | 'Combatant'    | '(extends)'     | 'GameEntity'  
'Interface' | 'Combatant'    | 'attack'        | 'uint16'      
'Interface' | 'Combatant'    | 'defense'       | 'uint16'      
'Composite' | 'Creature'     | '(implements)'  | 'Combatant'   
'Composite' | 'Creature'     | 'faction'       | 'Faction'     
'Composite' | 'Creature'     | '(implements)'  | 'WorldObject' 
'Composite' | 'Creature'     | 'speed'         | 'float32'     
'Composite' | 'Creature'     | 'level'         | 'uint8'       
'Interface' | 'Damageable'   | 'hp'            | 'int16'       
'Interface' | 'Damageable'   | 'max_hp'        | 'int16'       
'Interface' | 'Entity'       | '(extends)'     | 'Identifiable'
'Interface' | 'Entity'       | '(extends)'     | 'Positioned'  
'Interface' | 'Entity'       | 'id'            | 'uint32'      
'Interface' | 'GameEntity'   | '(extends)'     | 'Entity'      
'Interface' | 'GameEntity'   | '(extends)'     | 'Trackable'   
'Interface' | 'Identifiable' | 'name'          | 'string'      
'Composite' | 'Item'         | '(implements)'  | 'WorldObject' 
'Composite' | 'Item'         | 'weight'        | 'float32'     
'Composite' | 'Item'         | 'value'         | 'uint32'      
'Composite' | 'MagicWeapon'  | '(extends)'     | 'Weapon'      
'Composite' | 'MagicWeapon'  | 'spell_name'    | 'string'      
'Composite' | 'MagicWeapon'  | 'mana_cost'     | 'uint16'      
'Composite' | 'Merchant'     | '(extends)'     | 'NPC'         
'Composite' | 'Merchant'     | 'specialty'     | 'string'      
'Composite' | 'Merchant'     | 'gold'          | 'uint32'      
'Composite' | 'NPC'          | '(extends)'     | 'Creature'    
'Composite' | 'NPC'          | 'quest_giver'   | 'boolean'     
'Composite' | 'NPC'          | 'greeting'      | 'string'      
'Interface' | 'Physical'     | '(extends)'     | 'Positioned'  
'Interface' | 'Physical'     | 'solid'         | 'boolean'     
'Interface' | 'Physical'     | 'width'         | 'float32'     
'Interface' | 'Physical'     | 'height'        | 'float32'     
'Composite' | 'Player'       | '(extends)'     | 'Creature'    
'Composite' | 'Player'       | 'class_name'    | 'string'      
'Composite' | 'Player'       | 'score'         | 'uint32'      
'Interface' | 'Positioned'   | 'x'             | 'float32'     
'Interface' | 'Positioned'   | 'y'             | 'float32'     
'Composite' | 'Prop'         | '(implements)'  | 'WorldObject' 
'Composite' | 'Prop'         | 'destructible'  | 'boolean'     
'Interface' | 'Renderable'   | 'sprite'        | 'string'      
'Interface' | 'Renderable'   | 'layer'         | 'uint8'       
'Interface' | 'Timed'        | 'created_at'    | 'uint64'      
'Interface' | 'Trackable'    | '(extends)'     | 'Identifiable'
'Interface' | 'Trackable'    | '(extends)'     | 'Timed'       
'Composite' | 'Weapon'       | 'element'       | 'Element'     
'Composite' | 'Weapon'       | '(extends)'     | 'Item'        
'Composite' | 'Weapon'       | 'attack_range'  | 'float32'     
'Composite' | 'Weapon'       | 'damage'        | 'uint16'      
'Interface' | 'WorldObject'  | '(extends)'     | 'GameEntity'  
'Interface' | 'WorldObject'  | '(extends)'     | 'Physical'    
'Interface' | 'WorldObject'  | '(extends)'     | 'Renderable'  
'String'    | 'string'       | '[]'            | 'character'   

(60 rows)
