kind        | source         | field          | target        
--------------------------------------------------------------
'Composite' | 'Creature'     | '(implements)' | 'Combatant'   
'Composite' | 'NPC'          | '(extends)'    | 'Creature'    
'Composite' | 'Player'       | '(extends)'    | 'Creature'    
'Interface' | 'Combatant'    | '(extends)'    | 'Damageable'  
'Interface' | 'GameEntity'   | '(extends)'    | 'Entity'      
'Interface' | 'Combatant'    | '(extends)'    | 'GameEntity'  
'Interface' | 'WorldObject'  | '(extends)'    | 'GameEntity'  
'Interface' | 'Entity'       | '(extends)'    | 'Identifiable'
'Interface' | 'Trackable'    | '(extends)'    | 'Identifiable'
'Composite' | 'Armor'        | '(extends)'    | 'Item'        
'Composite' | 'Weapon'       | '(extends)'    | 'Item'        
'Composite' | 'Boss'         | '(extends)'    | 'NPC'         
'Composite' | 'Merchant'     | '(extends)'    | 'NPC'         
'Interface' | 'WorldObject'  | '(extends)'    | 'Physical'    
'Interface' | 'Entity'       | '(extends)'    | 'Positioned'  
'Interface' | 'WorldObject'  | '(extends)'    | 'Renderable'  
'Interface' | 'Trackable'    | '(extends)'    | 'Timed'       
'Interface' | 'GameEntity'   | '(extends)'    | 'Trackable'   
'Composite' | 'MagicWeapon'  | '(extends)'    | 'Weapon'      
'Composite' | 'Creature'     | '(implements)' | 'WorldObject' 
'Composite' | 'Item'         | '(implements)' | 'WorldObject' 
'Composite' | 'Prop'         | '(implements)' | 'WorldObject' 
'Composite' | 'Armor'        | 'slot'         | 'string'      
'Composite' | 'Boss'         | 'title'        | 'string'      
'Interface' | 'Identifiable' | 'name'         | 'string'      
'Composite' | 'MagicWeapon'  | 'spell_name'   | 'string'      
'Composite' | 'Merchant'     | 'specialty'    | 'string'      
'Composite' | 'NPC'          | 'greeting'     | 'string'      
'Composite' | 'Player'       | 'class_name'   | 'string'      
'Interface' | 'Renderable'   | 'sprite'       | 'string'      

(30 rows)
